code_muni,year,uf,municipality,population_2010,rural_share_2010,extreme_poverty_pct_2010,vulnerable_poverty_pct_2010,income_pc_2010,agricultural_employment_pct_2010,adult_illiteracy_pct_2010,public_sector_employment_pct_2010,idhm_2010,log_population_2010,population_class,adoption_year,value_transferred,value_family_farming,af_share_observed,pnae_record_observed,af_share,compliant_30,treated_currently
1100056,2020,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,173668,21613.36,12.445217311191469,TRUE,12.445217311191469,0,FALSE
1100056,2021,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,184551.4,70079.5,37.972889937437486,TRUE,37.972889937437486,1,FALSE
1100056,2022,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,129729.15,127835.98,98.54067493697445,TRUE,98.54067493697445,1,FALSE
1100064,2014,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,97470,38676.5,39.68041448650867,TRUE,39.68041448650867,1,FALSE
1100064,2015,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,103386,49558.95,47.935842377111015,TRUE,47.935842377111015,1,FALSE
1100064,2016,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,109348.94,24457.7,22.366654857376762,TRUE,22.366654857376762,0,FALSE
1100064,2017,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,111100,26995.75,24.298604860486048,TRUE,24.298604860486048,0,FALSE
1100064,2018,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,198936,68535.1,34.45,TRUE,34.45,1,FALSE
1100064,2019,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,168695.17,77034.85,45.7,TRUE,45.7,1,FALSE
1100064,2020,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,198125.4,44451.75,22.43616921404323,TRUE,22.43616921404323,0,FALSE
1100064,2021,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,191835.6,35918.5,18.723584152263708,TRUE,18.723584152263708,0,FALSE
1100064,2022,RO,COLORADO DO OESTE,18591,26.539723522134366,6.64,37.11,535.41,23.67,13.41,9.6,0.685,9.830432871630217,ate_20_mil,2024,174264,57087.5,32.7592044254694,TRUE,32.7592044254694,1,FALSE
1100072,2014,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,41168,15322.42,37.21924795958026,TRUE,37.21924795958026,1,FALSE
1100072,2015,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,49086,8835.34,17.999714786293445,TRUE,17.999714786293445,0,FALSE
1100072,2016,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,57388.27,19607.71,34.1667556802113,TRUE,34.1667556802113,1,FALSE
1100072,2017,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,74026,12320.5,16.643476616323994,TRUE,16.643476616323994,0,FALSE
1100072,2018,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,46665,21663,46.42000000000001,TRUE,46.42000000000001,1,FALSE
1100072,2019,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,56297.76,9876.5,17.5,TRUE,17.5,0,FALSE
1100072,2020,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,70419.8,1138,1.616022766324244,TRUE,1.616022766324244,0,FALSE
1100072,2021,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,77215.6,19229.47,24.903607561166396,TRUE,24.903607561166396,0,FALSE
1100072,2022,RO,CORUMBIARA,8783,70.51121484686325,10.16,46.42,402.15,51.25,13.55,4.27,0.613,9.080573313917117,ate_20_mil,2024,72116,33119.24,45.924954240390484,TRUE,45.924954240390484,1,FALSE
1100080,2014,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,235024,228490.47,97.22005837701681,TRUE,97.22005837701681,1,FALSE
1100080,2015,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,172766,38992.92,22.56978803699802,TRUE,22.56978803699802,0,FALSE
1100080,2016,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,168621.26,38368.03,22.753969457943796,TRUE,22.753969457943796,0,FALSE
1100080,2017,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,189910,62173.52,32.738412932441676,TRUE,32.738412932441676,1,FALSE
1100080,2018,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,152440,54671.27,35.86,TRUE,35.86,1,FALSE
1100080,2019,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,179324,94490.29,52.7,TRUE,52.7,1,FALSE
1100080,2020,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,190830.2,4095.47,2.146133054411723,TRUE,2.146133054411723,0,FALSE
1100080,2021,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,188386,5859.48,3.1103585192105565,TRUE,3.1103585192105565,0,FALSE
1100080,2022,RO,COSTA MARQUES,13678,45.18935516888434,9.66,55.8,370.77,34.89,9.39,6.72,0.611,9.523543981658042,ate_20_mil,2024,134966.4,88275.59,65.40560465419541,TRUE,65.40560465419541,1,FALSE
1100098,2014,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,235530,112573.43,47.79579246805078,TRUE,47.79579246805078,1,FALSE
1100098,2015,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,265246,234756.06,88.50503306364658,TRUE,88.50503306364658,1,FALSE
1100098,2016,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,295198.27,295198.27,100,TRUE,100,1,FALSE
1100098,2017,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,265970,228934.39,86.07526788735572,TRUE,86.07526788735572,1,FALSE
1100098,2018,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,264420,191007.93,72.24,TRUE,72.24,1,FALSE
1100098,2019,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,272364,173899.41,63.8,TRUE,63.8,1,FALSE
1100098,2020,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,286644.6,134197.12,46.816552623004235,TRUE,46.816552623004235,1,FALSE
1100098,2021,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,273182.8,95466.13,34.9458787302861,TRUE,34.9458787302861,1,FALSE
1100098,2022,RO,ESPIGÃO D'OESTE,28729,28.260642556301995,6.6,35.08,590.8,29.68,12.18,6.66,0.672,10.265662344545426,20_a_50_mil,,258602,204923.15,79.24267793752561,TRUE,79.24267793752561,1,FALSE
1100106,2014,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,366304,35135.15,9.591800799336072,TRUE,9.591800799336072,0,FALSE
1100106,2015,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,489886,44529.53,9.089773947408172,TRUE,9.089773947408172,0,FALSE
1100106,2016,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,443564.75,42321.29,9.541175217372436,TRUE,9.541175217372436,0,FALSE
1100106,2017,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,461621.2,45670.22,9.893440769184778,TRUE,9.893440769184778,0,FALSE
1100106,2018,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,477124,40906,8.57,TRUE,8.57,0,FALSE
1100106,2019,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,451752,115345.45,25.5,TRUE,25.5,0,FALSE
1100106,2020,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,443273.6,116670.83,26.320274882149537,TRUE,26.320274882149537,0,FALSE
1100106,2021,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,411800.4,186481.96,45.28455047639584,TRUE,45.28455047639584,1,FALSE
1100106,2022,RO,GUAJARÁ-MIRIM,41656,15.481563280199731,10.38,43.92,494.69,11.33,8.7,13.21,0.657,10.637200694842734,20_a_50_mil,2024,338720,166860.14,49.261968587624,TRUE,49.261968587624,1,FALSE
