code_muni,uf,municipality,adoption_year,resolution
3121605,MG,Diamantina,2024,Nº 5 - 09/05/2024
3121803,MG,Dionísio,2026,Nº 26 - 26/07/2026
3122207,MG,Divinolândia de Minas,2025,Nº 13 - 17/09/2025
3122306,MG,Divinópolis,2022,Nº 2 - 05/05/2022
3122504,MG,Dom Cavati,2025,Nº 8 - 30/04/2025
3122603,MG,Dom Joaquim,2025,Nº 2 - 24/02/2025
3123106,MG,Dores de Guanhães,2026,N° 28 - 26/08/2026
3123304,MG,Dores do Turvo,2026,Nº 26 - 26/07/2026
3123528,MG,Durandé,2025,Nº 9 - 30/06/2025
3123700,MG,Engenheiro Caldas,2022,Nº 4 - 20/07/2022
3123809,MG,Engenheiro Navarro,2024,Nº 9 - 20/08/2024
3123858,MG,Entre Folhas,2024,Nº 2 - 08/03/2024
3125408,MG,Felício dos Santos,2025,Nº 9 - 30/06/2025
3125507,MG,São Gonçalo do Rio Preto,2024,Nº 8 - 03/07/2024
3125606,MG,Felisburgo,2025,Nº 7 - 28/04/2025
3125952,MG,Fervedouro,2026,Nº 26 - 26/07/2026
3126109,MG,Formiga,2021,Nº 2 - 25/11/2021
3126208,MG,Formoso,2025,Nº 2 - 24/02/2025
3126505,MG,Francisco Badaró,2025,Nº 14 - 16/10/2025
3126802,MG,Frei Gaspar,2024,Nº 8 - 03/07/2024
3126950,MG,Frei Lagonegro,2024,Nº 2 - 08/03/2024
3127073,MG,Fruta de Leite,2024,Nº 2 - 08/03/2024
3127339,MG,Gameleiras,2024,Nº 4 - 07/05/2024
3127354,MG,Glaucilândia,2024,Nº 9 - 20/08/2024
3127503,MG,Gonzaga,2024,Nº 6 - 29/05/2024
3127701,MG,Governador Valadares,2022,Nº 5 - 09/09/2022
3128006,MG,Guanhães,2025,Nº 2 - 24/02/2025
3128204,MG,Guaraciaba,2024,Nº 10 - 30/09/2024
3128253,MG,Guaraciama,2024,Nº 4 - 07/05/2024
3128709,MG,Guaxupé,2024,Nº 9 - 20/08/2024
3129004,MG,Guiricema,2026,N° 27 - 04/08/2026
3129301,MG,Iapu,2021,Nº 2 - 25/11/2021
3129657,MG,Ibiracatu,2026,Nº 22 - 29/04/2026
3130101,MG,Igarapé,2024,Nº 9 - 20/08/2024
3130556,MG,Imbé de Minas,2022,Nº 2 - 05/05/2022
3130655,MG,Indaiabira,2024,Nº 10 - 30/09/2024
3130903,MG,Inhapim,2022,Nº 3 - 30/06/2022
3131158,MG,Ipaba,2021,Nº 2 - 25/11/2021
3131307,MG,Ipatinga,2023,Nº 4 - 21/12/2023
3131703,MG,Itabira,2022,Nº 4 - 20/07/2022
3132107,MG,Itacarambi,2024,Nº 8 - 03/07/2024
3132206,MG,Itaguara,2026,Nº 22 - 29/04/2026
3132305,MG,Itaipé,2024,Nº 12 - 19/11/2024
3132503,MG,Itamarandiba,2025,Nº 2 - 24/02/2025
3132602,MG,Itamarati de Minas,2025,Nº 7 - 28/04/2025
3132701,MG,Itambacuri,2025,Nº 17 - 31/12/2025
3133303,MG,Itaobim,2024,Nº 12 - 19/11/2024
3134004,MG,Itinga,2025,Nº 2 - 24/02/2025
3134103,MG,Itueta,2026,Nº 23 - 26/05/2026
3134608,MG,Jaboticatubas,2026,Nº 22 - 29/04/2026
3134707,MG,Jacinto,2025,Nº 9 - 30/06/2025
3135050,MG,Jaíba,2024,Nº 03 - 05/04/2024
3135076,MG,Jampruca,2025,Nº 5 - 25/03/2025
3135100,MG,Janaúba,2025,Nº 9 - 30/06/2025
3135209,MG,Januária,2026,N° 27 - 04/08/2026
3135357,MG,Japonvar,2024,Nº 4 - 07/05/2024
3135456,MG,Jenipapo de Minas,2026,Nº 23 - 26/05/2026
3135506,MG,Jequeri,2026,Nº 26 - 26/07/2026
3135803,MG,Jequitinhonha,2017,Nº 2 - 10/02/2017
3136009,MG,Joaíma,2024,Nº 5 - 09/05/2024
3136504,MG,Jordânia,2024,Nº 12 - 19/11/2024
3136520,MG,José Gonçalves de Minas,2026,Nº 26 - 26/07/2026
3136553,MG,José Raydan,2022,Nº 4 - 20/07/2022
3136579,MG,Josenópolis,2024,Nº 2 - 08/03/2024
3136702,MG,Juiz de Fora,2017,Nº 5 - 11/10/2017
3137007,MG,Ladainha,2024,Nº 4 - 07/05/2024
3138203,MG,Lavras,2026,Nº 22 - 29/04/2026
3138351,MG,Leme do Prado,2026,N° 27 - 04/08/2026
3138658,MG,Lontra,2024,Nº 9 - 20/08/2024
3138682,MG,Luislândia,2024,Nº 9 - 20/08/2024
3138906,MG,Machacalis,2025,Nº 13 - 17/09/2025
3139201,MG,Malacacheta,2025,Nº 2 - 24/02/2025
3139300,MG,Manga,2025,Nº 17 - 31/12/2025
3139409,MG,Manhuaçu,2021,Nº 2 - 25/11/2021
3140001,MG,Mariana,2026,N° 27 - 04/08/2026
3140506,MG,Martinho Campos,2026,N° 28 - 26/08/2026
3140555,MG,Mata Verde,2026,Nº 23 - 26/05/2026
3141702,MG,Mesquita,2023,Nº 4 - 21/12/2023
3141801,MG,Minas Novas,2025,Nº 9 - 30/06/2025
3142007,MG,Mirabela,2024,Nº 8 - 03/07/2024
3142106,MG,Miradouro,2025,Nº 5 - 25/03/2025
3142700,MG,Montalvânia,2026,N° 28 - 26/08/2026
3142908,MG,Monte Azul,2025,Nº 2 - 24/02/2025
3143450,MG,Montezuma,2025,Nº 14 - 16/10/2025
3143906,MG,Muriaé,2025,Nº 15 - 31/10/2025
3144656,MG,Ninheira,2025,Nº 17 - 31/12/2025
3144672,MG,Nova Belém,2026,Nº 22 - 29/04/2026
3144904,MG,Nova Módica,2025,Nº 13 - 17/09/2025
3145059,MG,Nova Porteirinha,2025,Nº 13 - 17/09/2025
